This file is highly classified. PLEASE DON'T DELETE.

GTA 5 CHEAT CODES FOR PC
Become Invincible	PAINKILLER
Get all Weapons	TOOLUP
Full Health and Armour	TURTLE
Spawn a Motorcycle	ROCKET
Spawn a sports car	COMET
Swim Faster	GOTGILLS
Spawn an Armed Helicopter	BUZZOFF
Get a Parachute	SKYDIVE
Decrease Wanted Level	LAWYERUP
Improve Aiming	DEADEYE
Recharge Special Ability	POWERUP
Run Faster	CATCHME
Jump Higher	GOTGILLS
Increase Wanted Level	FUGITIVE
Exploding Punch	HOTHANDS
Bullets that explode	HIGHEX
Flaming Bullets	INCENDIARY
Get Character Drunk	LIQUOR
Fall from the Sky	SKYFALL
Change Weather	MAKEITRAIN
Slippery Cars on the Road	SNOWDAY
Activate Low Gravity	FLOATER
Play the Game in Slow Motion	SLOWMO
Spawn a Garbage Truck	TRASHED
Spawn a Stunt Plane	BARNSTORM
Spawn a BMW Bicycle	BANDIT
Spawn a Crop Duster Plane	FLYSPRAY
Spawn a Golf Cart	HOLEIN1
Spawn a different Sports Car	RAPIDGT
Spawn a Limousine	VINEWOOD
Spawn a Dirt Bike	OFFROAD
